光學字符識別	OCR
不貞	unchaste\tunchastity
不負責任	irresponsibly\tirresponsible
不費力的	toilless
不贊成	disapprove\tdisapproval
不起眼的	unimposing
不越位	onside
不足	deficient\tinadequacy
不足地	scantly\tscantily
不足的	scant\tscanty
不遷就	unaccommodating
不進步	unprogressive
不連續	nonconsecutively
不連續性	discontinuity\tdiscontinuities
不連續的	discontinuous
不連貫	incoherence\tinconsequent
不連貫地	incoherently\tinconsequently
不連貫的	incoherent
不適	unwell\tmalaise
不適合	unfit\tunsuited
不適合工作	Not Safe For Work\tNot Suitable For Work
不適合的	unfitted
不適宜	unapt
不適當	inapt\tunmeet
不適用	inapplicable
不適航	unseaworthy
不透射線的	radiopaque
不透明	opacity\tnontransparent
不透明地	opaquely
不透明性	opaqueness
不透明的	opaque
不透熱性	athermancy
不通風的	airless
不道德	unethical
不道德的	immoral
不遵守	nonobservance\tnoncompliance
不重要	unimportance\tinconsequential
不重要地	inconsequentially
不重要的	unimportant
不鏽鋼	stainless
不間斷	uninterrupted
不間斷地	uninterruptedly
不間斷電源	UPS
不間斷的	unremitting
不雅	inelegant\tindelicate
不雅的	uncomely\tgraceless
不需要	unwanted\tunneeded
不領情	unappreciative\tinappreciative
不飽和	unsaturated
與	with
與會者	conferee
與格	dative
與此	therewith
與此同時	meanwhile
與生俱來的權利	birthright
與非	nand
醜化	uglify
醜惡的	seamy
丑角	harlequin
醜聞	scandal
醜陋	ugly\tugliness
專業	majors\tspecialty
專業人士	professionals
專業地	professionally
專業的	specialized\tprofessional
專業精神	professionalism
專利	patent
專利人	patenter\tpatentor
專利權人	patentee
專制	autarchy\tdespotism
專制主義	absolutism
專制主義者	absolutist
專制地	despotically\tautocratically
專制政體	autocracies
專制的	despotic\tautocratic
專員	commissioner
專家	mavin\tmaven
專攻	specialise\tspecialize
專有	proprietary
專有性	exclusivity
專欄作家	columnist
專橫	bossy\tdomineer
專橫地	imperiously\tperemptorily
專橫的	imperious\tperemptory
專注	intentness\tattentiveness
專注寫作	OmmWriter
專注地	raptly\tintently
專注的	rapt\tfocused
專著	monograph
專著作者	monographer
專著的	monographic
專長	expertise\tspecialism
專門	exclusively
專題論文	disquisition
世仇	feud\tvendetta
世仇者	feudist
世代	generations
世代交替	metagenesis
世俗	laic\tworldly
世俗主義	laicism\tsecularism
世俗主義者	secularist
世俗化	secularise\tsecularization
世俗性	secularity
世嘉	sega
世界	world\tmonde
世界主義者	cosmopolitain
世界冠軍	worldbeater
世界大戰	World War
世界幣	Worldcoin
世界性	worldsex
世界性的	cosmopolitan
世界政治的	cosmopolitical
世界景畫	cosmorama
世界貓	WorldCat
世界語	esperanto
世界都市	cosmopolis
世系	stirps\tancestry
世紀	century\tcenturies
世貿組織	WTO
丘吉爾	Churchill
丘吉爾式的	Churchillian
丘比特	Cupid
丘疹	papula
丘腦	thalamus
丘鷸	woodcock
丙基	propyl
丙烯	propylene
丙烯酸	acrylic
丙烷	propane
丙酮	acetone
業	karma
業主	proprietor
業餘	amature\tamatuer
業餘主義	amateurism
業餘愛好者	dilettante
業餘的	amateurish
業餘者	amateurs
叢	plex\tplexus
叢放大器	plexamp
叢林	jungle
叢林人	bushman
叢林戰	bushfighting
叢林般的	jungly
東	east
東京	Tokyo\ttonkin
東北	northeast
東北的	northeastern
東北風	northeaster
東南	southeast
東南向	southeasterly\tsoutheastward
東南部	southeastern
東南風	southeaster
東哥特人	ostrogoth
東德馬克	ostmark
東方	Orient
東方人	Orientals
東方化	orientalise\tOrientalize
東方的	easterly\tOriental
東盟	ASEAN
東芝	Toshiba
東行	easting
東西	stuff\tthing
東部人	easterner
東部的	eastern
絲光處理	mercerise\tmercerize
絲蘭	yucca
絲印	serigraph
絲印術	serigraphy
絲帶	ribbon
絲心蛋白	fibroin
絲毫	whit\tscintilla
絲氨酸	ser
絲滑	silky\tsericeous
絲滑地	silkily
絲滑的	flossy
絲滑霜	Silkine
絲狀的	filamentous\tfilamentary
絲的	filar
絲絨	velure\tvelours
絲綢	silk
絲般	silken
丟勒	Durer
丟勒作品	Durers
丟失	Lost
丟棄	discard
丟棄的	discarded
丟番圖的	Diophantine
丟臉	discreditable
兩	tael
兩便士	twopence
兩便士的	twopenny
兩倍	twifold
兩黨的	biparty\tbipartisan
兩週	fortnight
兩頭政治	diarchy
兩年一次的	biennial
兩年期	biennium
兩性的	amphoteric
兩性離子	zwitterion
兩月的	bimestrial
兩棲動物	amphibian
兩棲地	amphibiously
兩棲登陸車	amtrac
兩棲的	amphibious
兩棲部隊	amphibioustroops
兩次	twice
兩者	both
兩耳草	knotgrass
兩腳架	bipod
兩足動物	biped
兩足的	bipedal
兩部分的	bipartite
兩院制	bicameral
嚴	yan
嚴厲	harsh\tsternness
嚴厲地	sternly\troundly
嚴厲批評	excoriate\texcoriation
嚴厲的	stern\tscathing
嚴峻	grimness
嚴峻的	grim
嚴格	rigor\tstrict
嚴格地	strictly\tstraitly
嚴格性	strictness
嚴格的	rigorous
嚴格管制	regimentation
嚴格管制的	regimented
嚴格者	martinet
嚴肅	serious
嚴肅的	derious
嚴肅者	sobersides
嚴謹	rigour\tpunctilious
嚴謹者	precisian
嚴酷	rigors\tharshness
嚴酷的	Draconian
嚴重	severity\tgraveness
嚴重地	badly\tgravely
嚴重性	severities\tseriousness
嚴重的	grave\tsevere
喪親	beravement\tbereavement
喪親者	bereaved
喪偶的	widowed
喪失	bereft
喪鐘	knell
個人	personal\tindividual
個人主義	privatism\tindividualism
個人主義的	individualistic
個人主義者	individualist
個人廣告	personals
個人電腦	PC
個人電腦存儲卡	PCMCIA
個體化	individuation
個體發生	ontogenesis
個體發育	ontogeny
個性	personality\tpersonalities
個性化	pn\tpersonalize
個性化的	individualized
個案工作	casework
中	mid
中世紀	medieval
中產階級	bourgeoisie
中介	intermediary\tintermediation
中位數	median
中興	ZTE
中午	noon
中衛	halfback
中號	midi
中和	neutralize\tneutralise
中和中	neutralizing
中國	CN\tSino-
中國中央電視臺	CCTV\tChina Central Television
中國人	Chinese\tChinaman
中國民航	CAAC
中國狗	chowchow
中國籃球協會	Chinese Basketball Association
中國銀行	cnb
中場	midfield
中士	sergeant\tsargeant
中大陸	midcontinent
中央地	centrally
中央處理器	cpu\tCPU
中央的	central
中央邦	Madhya
中央集權	centralism
中央集權者	centralist
中子	neutron
中尉	lieutenant
中尉職位	lieutenancy
中小企業	SMB
中山	Nakayama
中年	middleaged
中庭	atrium
中微子	neutrino
中心	center\tcentro
中心性	centrality
中心線	centerline\tcentreline
中心裝飾	centerpiece
中性	neuter\tunisex
中情局	CIA\tcia
中提琴	viola
中提琴手	violist
中文	chinese
中斷	breaks\thiatus
中斷性	interruptive
中斷的	disrupted
中新世	Miocene
中暑	sunstroke\theatstroke
中期	metaphase
中村	Nakamura
中桅	topmast
中檔	midscale\tmidrange
中止	abort\tabeyance
中止中	aborting
中段	midsection
中殿	nave
中毒	poisoned\tpoisoning
中流	midstream
中點	middot\tmidpoint
中生代	Mesozoic
中石器時代	Mesolithic
中立	neutral\tneutrality
中立主義	neutralism
中立主義者	neutralist
中立地	neutrally
中立性	neutralities
中立議員	crossbencher
中等的	middling
中篇小說	novella
中緯度	midlatitude
中線	midline
中繼	relay
中繼中	relaying
中繼器	relays
中綴	infix
中背的	middorsal
中胚層體型	mesomorph
中胚層的	mesomorphic
中脈	midrib
中腦	midbrain
中腿	midleg
中行	BOC
中西部	Midwest
中西部人	Midwesterner
中西部的	Midwestern
中途	midway\thalfway
中途停留	stopover
中鐵桿	midiron
中間	midst\tmiddle
中間人	MitM\tbagman
中間件	middleware
中間體	intermediates
中間層	mesosphere
中間性格	ambivert
中間派	centrist
中間的	medial\tintermediate
中隊	squadron
中音	alto\tAltos
中音號	althorn
中風	stroke\tapoplexy
中風的	apoplectic
豐塔納	Fontana
豐富	galore\tenrich
豐富地	richly\tcopiously
豐富的	profuse\tcopious
豐滿	plim\tplump
豐滿地	plumply
豐滿的	busty\tbuxom
豐田	Toyota
豐碩	fruitfulness
豐饒的	cornucopian
豐饒角	cornucopia
串擾	crosstalk
串接	stringing
串珠	beading
串珠的	beaded
串聯	tandem
串行接口	SATA
串酒吧	Barhop
臨牀	clinical\tclinically
臨牀醫生	clinician
臨時	nonce\tinterim
臨時憑證	scrip
臨時工	temp\ttemporaries
臨時性	provisionality
臨時方案	kludge
臨時的	temporary\tprovisional
臨終	deathbed
臨終關懷	hospice
臨街面	frontage
丸狀的	pilular
丹	dan\tDan
丹伯裏	Danbury
丹佛	Denver
丹妮爾	danielle
丹尼	Danny\tDenny
丹尼什	denish
丹尼爾	Daniel
丹尼爾斯	Daniels
丹尼爾森	Danielson
丹尼斯	denis\tDennis
丹毒	erysipelas
丹維爾	Danville
丹麥	Denmark
丹麥人	Dane
丹麥化	Danize\tDanization
丹麥法區	danelaw
丹麥的	Danish
丹麥語	dansk
丹麥金	danegeld
爲了	for
爲什麼	why
爲何	why'd\twherefore
爲何將	why'll
爲何已	why've
爲何是	why's
主	dom
主義	ism
主人	host\tmaster
主修	majored\tmajoring
主力	workhorse
主動性	initiative
主動的	proactive
主動脈	aorta
主動脈的	aortic
主廚	chef
主婦	goodwife\thomemaker
主婦的	housewifely
主婦般的	matronly
主導地	dominantly
主導地位	predomination
主導的	dominant
主帆	mainsail
主帆索	mainsheet
主席	chairmen\tchairman
主席團	presidium
主席職位	chairmanship
主引導記錄	MBR\tmaster boot record
主張	asserts\tassertion
主張者	asserters
主持	hosted\tchaired
主持人	emcee\tlinkman
主持的	presiding
主控程序	MCP
主教	exarch\tbishop
主教制	prelacy\tepiscopacy
主教區	exarchate
主教座	cathedra
主教的	episcopal
主教轄區	bishopric
主日的	dominical
主顯節	Epiphany
主機	mainframe
主機名	hostname
主權	sovereignty
主板	motherboard
主根	taproot
主格	nominative\tnominatival
主桅	mainmast
主桅頂樓	maintop
主流	mainstream
主演	starring
主電源	mains
主禱文	paternoster
主管	supervisor\tsuperintendent
主線	mainline
主線使用者	mainliner
主菜	entree
主要	mainly\tprincipal
主要地	mostly\tlargely
主要的	main\tmajor
主觀主義	subjectivism
主觀地	subjectively
主觀性	subjectivity
主觀的	subjective
主角	protagonist
主講人	keynoter
主軸	headstock
主頁	homepage
主題	topic\ttheme
主題演講	keynote
主題的	themed\tthematic
麗茲	Ritz
麗塔	rita
麗莎	Lisa
麗蠅	blowfly
麗貝卡	Rebecca
舉止	comport\tdemeanor
舉起	heave\tupraise
舉起的	upraised
舉重	lifting
舉重者	heaver\tlifter
久坐的	sedentary
義不容辭的	bounden
義務	obligation
義務論	deontology
義警	vigilantes
之後	after\tafterward
之字形	zig
之字形路	switchback
之間	between
烏克蘭	Ukraine
烏克蘭人	Ukrainians
烏克蘭的	Ukrainian
烏蘭	Ulan
烏茲衝鋒槍	Uzi
烏茲別克斯坦	uzbekistan
烏合之衆	rabble\triffraff
烏頭	aconite
烏爾蘇拉會的	Ursuline
烏爾都語	Urdu
烏干達	Uganda
烏得勒支	Utrecht
烏托邦	utopia
烏托邦主義	utopianism
烏托邦主義者	utopians
烏托邦化	Utopianize
烏托邦的	Utopian
烏拉圭	Uruguay
烏拉圭人	Uruguayan
烏拉圭的	Uruguay'a
烏拉尼亞	Urania
烏木	ebony\tcalamander
烏瑪	uma
烏班圖	ubuntu
烏瓦烏姆	uvauum
烏蘇拉	Ursula
烏諾	uno
烏里	Uri
烏鴉	crow\traven
烏鴉座	Corvus
烏鴉的	corvine
烏鶇	ouzel
烏龍茶	oolong
乍得	Chad
乏味	vapid\ttedium
乏味事物	yawner
乏味地	tediously
乏味的	stodgy\tjejune
樂於助人的	obliging
樂天	Lotte
樂威壯	levitra
樂意	fain\twillingly
樂意地	lief\tgladly
樂手	sideman
樂觀	optimism
樂觀主義	bonism
樂觀地	optimistically
樂觀的	upbeat\tsanguine
樂觀者	optimist
樂購	tesco
樂趣	fun\tjoys
樂透	lotto
樂隊	band
樂隊成員	bandsman
樂隊指揮	bandmaster
樂隊領隊	bandleader
樂高	lego
乒	ping
喬	jo\tJo
喬喬	JoJo
喬伊斯	Joyce
喬伊波伊	Joy Boy
喬克	chogh
喬克託	Choctaw
喬克託人	Choctaws
喬利埃特	Joliet
喬叟	Chaucer
喬姆斯基	Chomsky
喬安妮	Joanne
喬安娜	Joanna
喬爾	Joel
喬布雷爾	Jobrel
喬康達	Gioconda
喬恩	jon\tJon
喬斯	Joes
喬普林	Joplin
喬木	arbor
喬治	georg\tGeorge
喬治城	Georgetown
喬治系統	giorgisystem
喬瓦尼	Giovanni
喬納斯	Jonas
喬納森	Jonathan
喬納森化	Jonathanization
喬達摩	Gautama
喬迪	Jody
乖戾	surliness\tperversity
乖戾地	surlily
乖戾的	surly
乘	multiply\tmultiplies
乘以	multiplied
乘出租車	taxied
乘務員	steward
乘務長	purser
乘坐	rides
乘客	pax\tpassenger
乘數	multiplier
乘法	multiplication
乘法器	multiplicator
乘法的	multiplicative
乘用馬	palfrey
乙二醇	glycol
乙炔	acetylene
乙炔燈	acetylenelamp
乙烯	ethylene
乙烯基	vinyl
乙烷	ethane
乙狀結腸鏡	sigmoidoscope
乙縮醛	acetal
乙酰膽鹼	acetylcholine
乙酰苯胺	acetanilide
乙醇	ethanol
九	nine
九人團	ennead
九倍	ninefold
九十	ninety
九十多歲	nonogenarian
九十歲老人	nonagenarian
九十年代	nineties
九日祈禱	novena
九月	sep\tsep.
九柱戲	skittle
九邊形	nonagon\tenneagon
九進制	nonary
九重奏	nonet
九重葛	bougainvillaea
九龍	Kowloon
乞丐	beggar\tmendicant
乞力馬紮羅	Kilimanjaro
乞求	beg\tbegged
乞討	cadge\tbumming
也	also
也不	nor\tneither
也許	maybe\tperhaps
也門	Yemen
習	xi
習俗	mores\tfolkway
習性	habitude
習慣	wont\thabit
習慣化	habituation
習慣性	habitualness
習慣性地	habitually
習慣性的	habitual
習慣的	inured\taccustomed
習氣	mannerism
習語	idiom
鄉巴佬	hick\tRube
鄉愁	homesickness
鄉村	rural\tcountryside
鄉村主義	ruralism
鄉村主義者	ruralist
鄉村化	ruralise\truralize
鄉村地	rurally\trustically
鄉村性	rurality
鄉村的	rustic\tstrustic
鄉村青年	swain
鄉村風味	rusticity
鄉紳	squire
書	book
書信	epistle
書信體的	epistolary
書信集	epistles
書包	satchel\tschoolbag
書呆子	nerd\tbookish
書商	bookseller
書套	slipcase
書店	bookshop\tbookstore
書擋	bookend
書架	bookshelf\tbookcases
書櫃	bookcase
書法	penmanship\tcalligraphy
書法家	penman\tcalligrapher
書法的	calligraphic
書目	bibliography\tbibliographies
書目的	bibliographic\tbibliographical
書籤	bookmark
書籤器	bookmarker
書籍	books
書籍知識	booklore
書蟲	bookworm
書販	colporteur
買	buy
買辦	compradore
買賣聖職	simony
買賣聖職的	simoniacal
買賣聖職者	simoniac
買家	buyer
買方	vendee
亂倫	insest\tincest
亂倫的	incestuous
亂射	potshot
亂扔	littering
亂扔垃圾者	litterbug
亂穿者	jaywalker
亂穿馬路	jaywalk
乳光	opalescence
乳光的	opalescent
乳製品	dairy
乳劑	emulsion
乳化	emulsify\temulsification
乳化的	emulsive
乳品廠	creamery
乳頭	tit\tteat
乳房	udder
乳房切除術	mastectomy
乳房的	mammary
乳暈	areola
乳比重計	lactometer
乳液	lotion
乳清	whey
乳狀	milkiness
乳狀的	lacteous
乳白的	milky
乳突	mastoid
乳突炎	mastoiditis
乳糖	lactose
乳糜的	lacteal
乳脂	butterfat
乳脂狀	creaminess
乳脂狀的	creamy
乳腺炎	mastitis
乳草	milkweed\tsilkweed
乳蛋餅	quiche
乳酸的	lactic
乳酸菌	lactobacillus
乳霜	creme
乳香	mastic\tfrankincense
乳齒象	mastodon
爭吵	flite\tbicker
爭吵中	squabbling
爭吵了	bickered
爭吵過	squabbled
爭奪	scrambles\tscrambling
爭執	tiff
爭議	dispute\tcontroversy
爭論	argue\tpolemic
爭論中	arguing\tdisputing
爭論的	eristic
爭論着	argues
爭論者	arguer\tdisputer
爭論過	argued
事業	undertaking
事件	event\taffair
事務	affairs
事後想法	afterthought
事實	fact\tfactum
事實上	facto\tfactually
事實主義	factualism
事實的	factual
事情	matter
事故	accident
事物	things
事由	casus
事項	res\tmatters
二	di\tii
二人組	duo
二價	divalent
二價的	bivalent
二倍體	diploid
二元	dyad
二元性	duality\tdualities
二元的	binary\tdyadic
二元論	dualism
二元論者	dualist
二分	dichotomize
二分法	dichotomy
二分的	dichotomous
二十	twenty
二十一點	blackjack
二十多歲	twenties
二十面體	icosahedra\ticosahedron
二十面體的	icosahedral
二疊紀	Permian
二嗪	diazine
二噁英	dioxin
二頭的	bicipital
二頭肌	bicep
二尖瓣	mitral
二形的	biform
二律背反	antinomy
二態性	dimorphism
二戰	WWII\tWorld War II
二手	secondhand\tsecond-hand
二月	feb.\tFebruary
二極管	diode
