#兼容所有拼音類型的公共簡碼庫	
gj	感覺	根據	關鍵
yqf	右前方	有啓發
yqh	邀請函	運氣好
yqj	元器件	油漆匠	一切皆
yqk	眼前虧	一千塊
yqn	要求你	一千年
yqq	雨悽悽	一起去
yqy	有求於	與企業
yrj	愚人節	有人叫
ysl	以色列	伊斯蘭
ysu	也算是	意思是
yvb	圓珠筆	硬指標	一直被
yvf	一陣風	由政府
yvh	一枝花	一週後
yvj	郵政局	有主見	抑制劑
yvl	意志力	圓周率	硬着陸
yvm	驗證碼	一週目	有這麼
yvv	一陣陣	眼睜睜	有這種
yvz	一陣子	一直在
ywb	英文版	義務兵	因爲被
ywg	一萬個	義務工	英文歌
ywj	源文件	與外界
ywk	依我看	一萬塊
ywm	英文名	與我們
ywn	一萬年	因爲你
ywt	有問題	因爲他
yww	洋娃娃	魚尾紋	因爲我
ywy	業務員	因爲有
yxb	一小半	也許吧	遊戲本
yxf	右下方	優選法	有想法
yxl	影響力	一系列	印象裏
yxm	音形碼	遊戲嗎
yxs	預選賽	亞硝酸	有相似
yxt	遊戲廳	一席談	有相同
yxv	印象中	遊戲中
yxw	一下午	也希望
yxx	一下下	有效性	有信心
yxy	醫學院	亞細亞	一向以
yyf	一月份	有一份
yyg	有一個	優越感
yzn	原子能	又怎能
yzz	一座座	一字字
zbi	做不出	在保持
zbn	總不能	在半年
zbr	再不然	再比如
zbv	坐不住	遭不住	座標軸
zby	贊比亞	在畢業
zdf	最低分	在對方
zeg	昨兒個	罪惡感
zfj	字符集	坐飛機
zge	自個兒	最高額
zgf	最高分	最高峯	早高峯
zgt	栽跟頭	坐高鐵
zhd	雜貨店	最壞的	最好的
zhg	自豪感	在韓國
zhj	組合鍵	最後就
ziq	走出去	在初期
zkz	鑽空子
zld	自留地	在倫敦
zli	髒亂差	在臨牀
zll	紫羅蘭	走廊裏
zlu	自來水	在路上
zmi	怎麼成	在漫長
zmk	怎麼看	子母扣	在門口
zmp	怎麼破	怎麼跑
zmt	自媒體	在媒體
zmw	怎麼玩	在門外
znu	怎能說	在那時
znx	災難性	走內線	做哪些
zpz	左撇子	嘴皮子
zqf	左前方	在前方
zrg	責任感	自然光
ztl	糟蹋了	在討論
ztq	遭天譴	昨天去
ztu	總體上	在臺上
zux	暫時性	雜食性	在水下
zvu	增值稅	雜誌社
zwl	走彎路	在未來
zwu	走爲上	在網上
zwv	做文章	造物主	在文章
zwx	紫外線	再往下
zxf	左下方	在西方
zxh	最喜歡	最小化	總喜歡
zxj	左下角	增效劑	最先進
zxn	早些年	在校內
zxu	在校生	諮詢師
zxx	自信心	醉醺醺	髒兮兮
zyh	自由化	最優化	在銀行
zyq	在一起	在眼前
zyu	早已是	左右手	最原始
xhup	小鶴雙拼
xhyx	小鶴音形
dqjd	當且僅當
vglv	治國理政
ddw	敵敵畏	東帝汶
dqt	大晴天	大前提
eqw	惡趣味
kdn	卡迪娜
kfc	肯德基
lan	戀愛腦
mrg	魔然改
oy	偶遇
pkp	撲克牌
sgu	三國殺
skc	SKC
sku	SKU
str	str
tlp	太離譜
top	TOP
tui	TUI
txt	TXT
vrg	轉人工	主人公
vxk	真辛苦
vya	這樣啊
vzm	這怎麼
wcb	woc冰！
wph	唯品會
wrd	無人島	Word
www	我問問	嗚嗚嗚	萬維網
xhs	小紅書	猩紅色
xkq	辛苦錢
xln	希臘奶
zrf	自然輔
aav	AA制
apj	安培計
asv	A4紙
bbd	巴不得	辦不到	保不定
cjj	C++
cpj	磁偏角
cpp	C++
cyy	C語言	餐飲業
ejw	二進制文件
fpj	發泡劑
fwu	服務社
hli	火輪船
jlg	機靈鬼
jvn	就只能
kvh	客製化
lff	亂紛紛
lwl	來晚了	爛尾樓
mrq	默認情況下	賣人情
nxx	內向型
or	偶然
smn	什麼呢
ssd	4S店	三四點
syb	縮印本
upj	食品街
veb	中二病
vjm	炸醬麪
vty	正投影
vxx	中小型
vyi	製藥廠	製衣廠
xje	心勁兒
ysh	有時候
ywh	有文化	亞文化
ywl	員外郎
adu	愛迪生
adz	安釘子
aet	阿爾泰
afe	愛範兒
agq	熬過去
agx	愛國心
agz	矮個子
ahq	安魂曲
ahr	安徽人
aii	暗沉沉
aiz	阿昌族
ajf	安家費
ajj	安監局
akl	安卡拉	拗口令
akm	奧卡姆
alt	阿勒泰
amb	阿米巴
ame	埃米爾
amj	凹面鏡
amn	阿瑪妮
amr	澳門人
apg	安排給
apu	安排上
aqb	安全部
aqe	安琪兒
aqf	安全閥
aqm	安全門
aqt	安全套
aqy	愛奇藝
arz	熬日子
ast	奧斯汀
atp	阿托品
aul	愛上了
aux	按順序
avp	安裝盤
awj	安慰劑
aww	艾窩窩
axb	癌細胞
axs	氨溴索
ayc	奧運村
bax	白矮星
baz	保安族
bbc	八寶菜
bbe	寶貝兒
bbf	揹包袱
bbg	比不過
bbr	半邊人
bbs	並不是
bbw	北部灣
bct	波茨坦
bfb	不方便	百分百	百分比
bfd	百分點
bfe	變法兒
bfr	本分人
bfv	百分之	併發症
bgb	不敢不
bgf	笨功夫
bgg	不過關
bgh	報告會
bgj	白骨精	不乾膠
bgt	包工頭	辦公廳
bgu	辦公室	不過是
bgw	別管我
bgx	不甘心	不高興	被告席
bgz	筆桿子	半個字
bhc	保護層
bhd	北海道
bhf	病號飯
bhg	不合格	背黑鍋
bhm	巴哈馬
bhp	保皇派
bhr	不好惹
bhs	不划算	保護傘
bhu	不合適	不好說
bhv	被害者
bhw	白話文
bip	半成品
bjc	保健操
bjd	不見得	不覺得
bje	不就是
bjg	不及格
bji	捕鯨船
bjj	不僅僅
bjl	不見了	冰激凌
bjm	不結盟
bjp	保健品
bjr	不盡然	北京人
bjv	八進制
bkm	寶可夢
bkp	不靠譜
bku	不愧是	白開水
ble	鼻樑兒
bln	不理你	百靈鳥
bmd	白名單
bme	白木耳
bmf	白米飯
bmg	閉門羹
bmm	白茫茫
bmq	罷免權
bmv	不買賬	北美洲
bmx	保密性
bnb	不能不
bnd	本年度
bnf	不耐煩
bnm	巴拿馬
bnt	編年體
bpc	半瓶醋
bpt	爆破筒
bpv	不排除
bpz	爆破組
brr	不讓人	不認人	不饒人
brx	必然性	包容性
bsh	不是很
bsj	波斯菊
bsm	不是嗎	俾斯麥
bsq	變速器
bss	白森森
bsz	卜算子
btn	拜託你
buy	不適應
bvn	表侄女
bvz	不知足
bwc	霸王餐	保溫層
bwh	不外乎
bwj	拜物教
bwk	保衛科
bwm	半文盲
bww	別問我	不枉我	布娃娃
bwy	博物院
bxc	包心菜
bxr	保險人
byh	邊緣化
byi	表演唱
bys	表演賽
bzv	編組站
cah	殘奧會
cbb	蠶寶寶
cbs	纔不是
cbt	猜不透
ccr	草蓯蓉
cdb	測電筆
cdd	粗墩墩
cdj	CD機	磁帶機
cdz	草墊子
cec	刺兒菜
cfp	裁縫鋪
cfz	湊份子
cgt	參觀團
cgv	磁共振
cgy	磁感應
chp	彩虹屁
chx	詞彙學
cii	存車處
cik	存儲卡
cjp	促進派
cjr	殘疾人
cjs	蔥薑蒜
cjv	餐巾紙
cjx	刺激性
ckx	參考系
cky	纔可以	採礦業
cli	材料廠
clj	測力計
clr	村裏人
cls	草綠色
cmb	參謀部
cmg	催命鬼
cmh	草木灰
cmt	側面圖
cmu	催眠術
cmv	參謀長
cnm	草泥馬	操你媽
cpv	裁判長
cpy	裁判員
cqg	存錢罐
cqi	菜青蟲
cqj	此期間	磁傾角
cqr	詞嵌入
crn	湊熱鬧
ctb	錯題本
ctj	錯題集	催吐劑
ctl	磁通量
ctw	村通網
cuh	草珊瑚
cui	菜市場
cul	藏書樓
cut	側視圖
cuu	脆生生
cvp	粗製品
cvq	參政權
cvt	財政廳
cvw	參照物
cvx	參照系
cwd	錯誤的
cwk	財務科
cwu	財務室
cxg	雌小鬼
cxl	詞向量
cxt	粗線條
cxw	粗纖維
cyh	參議會
cym	曾用名
cyu	此一時
cyv	從業者
cyz	菜園子	撮一撮
czf	操作符
czl	存在了
czu	操作數
czx	操縱性
czy	操作員
dah	冬奧會
dam	地安門
daz	德昂族
dba	多巴胺
dbw	大比武
dcb	電磁波
dcc	低層次
dce	帶刺兒
dcg	打草稿
dci	電磁場
dcr	稻草人
dct	電磁鐵
dcx	電磁線
dcy	大草原
ddb	黨代表
dde	打盹兒
ddg	打短工
ddi	電動車
ddj	電動機
ddk	地對空
ddm	大動脈	擔擔麪
ddr	當地人
dds	打哆嗦
ddy	大電影	地動儀
del	第二輪
det	第二天	德爾塔
dev	開發者	第二種
dew	第二位
dex	第二性
dey	第二頁	第二眼
dfe	丟份兒
dfp	豆腐皮
dfz	大分子
dgj	地鍋雞
dgl	大概率	大功率
dgr	德國人
dgt	跌跟頭
dgx	等高線
dgy	地溝油
dhj	打火機
dhk	對話框
dhp	動畫片	大紅袍
dhq	打哈欠
dht	大後天
dhv	到會者
dhx	導火線
dhz	大鬍子
dib	低成本
dif	蛋炒飯
dim	倒插門
dit	底朝天
djb	登記表	單肩包	單機版
djd	打交道
djm	大靜脈
djp	擋箭牌
djs	大獎賽
djw	東京灣
djx	對角線
djy	等價於	都江堰
dke	笛卡爾
dkh	大括號
dki	大客車
dlf	代理費
dli	獨輪車
dln	地拉那
dmg	大滿貫
dmh	大明湖
dmj	獨幕劇
dmr	大忙人
dmt	多媒體	多模態	多面體
dmu	多面手
dmv	大拇指
dmx	大模型
dnb	擋泥板
dnf	東南風
dni	電腦城
dnj	低年級
dnl	多年來
dnu	鬥牛士
dnw	逗你玩
dnz	動腦子
dpi	電瓶車
dpk	短平快
dpl	得票率
dpm	大屏幕
dqd	多渠道
dqe	逗趣兒
dqf	盜竊犯
dqn	短期內
dqp	當權派
drb	電熱杯
drf	大潤發
drg	大染缸
drn	地熱能
drq	電熱器
drt	大熱天	電熱毯
drw	大人物
drx	得人心
drz	電褥子
dsc	第三次	第四次
dsh	的時候	到時候
dsi	大掃除
dsl	第三輪
dsm	第三名
dsp	打算盤
dsz	大嫂子
dtc	大頭菜
dtd	帶徒弟
dtf	打頭風
dtg	打通關
dtj	大團結
dtp	打頭炮
dtr	帶頭人
dtz	獨體字
duc	多少次
due	大嬸兒
dug	多少個	大使館
dul	大赦令
dun	迪士尼	多少年
dup	打水漂
dut	電視臺
duv	董事長
duz	獨生子
dvf	大丈夫
dvj	彈指間
dvk	打折扣
dvp	豆製品
dvv	打轉轉
dvw	動植物
dwb	德文版
dwc	第五次
dwe	對味兒	大腕兒	短吻鱷
dwf	抖威風
dwg	單位根
dwh	黨委會
dwi	大碗茶
dwm	對我們
dwp	電蚊拍
dwq	大灣區	電位器
dws	毒瓦斯
dwu	多位數
dxc	燈心草
dyh	多元化	多樣化	等一會
dyj	打印機	大妖精
dyk	彈藥庫
dym	第一名	第一面	大銀幕
dys	遞眼色
dyt	第一天	釣魚臺
dyu	第一手
dyx	等一下	打遊戲
dzb	電子錶	大字報	大資本
dze	肚子餓
dzf	彈子房
dzg	電子管
dzi	電子廠
dzk	丁字褲	大字庫
dzs	淡紫色	大贈送
dzt	大總統
dzu	電子書
dzx	電子學
dzz	大動作	刀子嘴
ebx	二不休
ecf	二次方
edu	二段式
edv	二地主
edx	二疊系
edy	耳朵眼
efd	二房東
efg	阿房宮
egd	二哥大
egr	俄國人
egs	恩格斯
ejg	二極管
eju	已經是
eks	Excel
elb	二〇八
eli	鄂倫春
elj	二〇九
ell	二〇六
elq	二〇七
elw	二〇五
emj	二面角
ert	二人臺
erv	二人轉
esj	耳塞機
esz	二三子
ett	兒童團
etx	兒童學
euh	二手貨
evm	二週目
ewd	額外的
ewu	耳挖勺
ewz	耳挖子	二五仔
exf	兒媳婦
exu	二項式
exx	二象性	耳下腺
eyg	耳咽管
eyl	二元論
eys	二元酸
eyw	鄂豫皖	誒呦喂
eyx	二義性
fal	發案率
fbh	發佈會
fbj	發報機
fbr	發包人
fbt	副標題
fbz	誹謗罪
fcc	分層次
fcw	犯錯誤
fdb	輔導班
fdc	發大財
fdh	負電荷
fdq	放大器
fds	防盜鎖
fdt	非導體
fdv	犯得着
fej	伏爾加
fet	伏爾泰
ffj	防腐劑
ffl	方法論
fgc	風滾草
fgg	腹股溝
fgj	房管局
fgr	法國人
fgw	發改委
fhd	服化道
fhf	複合肥
fhi	符號串
fhs	復活賽
fhu	反函數
fhx	縫合線	複合型
fip	副產品
fit	非傳統
fiw	副產物
fiy	翻車魚
fiz	方程組
fji	飛機場
fjq	風景區
fjr	福建人
fju	福建省
fjv	附加值
fkb	防空兵
fkc	發刊詞
fkf	封口費
fkh	方括號
fkt	方框圖
flg	防藍光
flj	費老勁	放冷箭	法律界
flk	法蘭克	弗蘭克
flr	法蘭絨
flt	翻了天	非流通	分餾塔
flu	分列式
flv	分裂症	琺琅質
fmb	犯毛病
fmh	犯迷糊
fmj	發明家
fmu	分明是
fmv	發明者
fnb	瘋牛病
fnw	放牛娃
fpf	分配閥
fpp	粉撲撲
fpv	廢品站
fpz	覆盆子
fqr	發起人
fqx	反傾銷
frg	法人股
fri	非日常
fry	瘋人院
frz	非人哉
fsd	發生的	分散度
fsg	複色光
fsh	風俗畫
fsj	粉碎機
fst	仿宋體
ftf	肥田粉
fth	法塔赫
ftl	反推力
ftn	芬太尼
ftp	佛跳牆
ful	分水嶺	番石榴
fux	放射性
fvd	分至點
fve	分之二
fvg	發展觀
fvi	紡織廠
fvj	紡織機
fvk	風疹塊
fvn	非智能	分鐘內	紡織娘
fvp	紡織品
fvr	負債人
fvs	分之三	分之四
fvw	附着物
fvz	反質子
fwb	服務部
fwc	方位詞
fwj	蜂王漿
fwm	蜂窩煤
fwn	犯爲難
fwv	反物質
fwx	服務性
fwy	服務員
fxk	複選框
fxr	負心人
fxt	芳香烴
fxv	副縣長
fxz	風信子
fyb	防雨布	放一邊
fyi	放映場
fyp	仿羊皮
fyu	放映室
fyv	防疫站
fyy	發源於	發語音
fyz	飛葉子
fzd	複雜度
fzl	副總理
fzp	肥皂泡
fzt	副總統
fzu	分子式
gab	公安部
gaj	公安局
gas	穀氨酸
gbw	官本位
gcb	公測版
gcc	高層次
gcf	構詞法
gcv	觀測站
gcy	高層雲
gdb	高蛋白
gde	骨朵兒
gdf	鬼地方
gdg	高低槓
gdh	掛電話
gdi	乾電池
gdj	供電局
gdr	滾刀肉	廣東人
gdw	各單位
ged	共軛點
gef	高爾夫
gez	乾兒子
gfb	國防部
gff	國防費
gfj	鼓風機
gfp	功夫片
gfr	貴婦人
gfu	公費生
gfy	光反應
gfz	高分子
ggd	怪怪的	感光度
ggh	剛果紅
ggj	骨骼肌	呱呱叫
ggn	乖乖女	肝功能
ggp	感光片
ggv	觀光者	搞搞震
ggy	歸功於
ghb	高回報
ghd	共和黨	幹得好
ghe	過會兒
ghf	鬼畫符
ghh	骨灰盒	鬼畫糊
ghk	更何況
ghl	搞混了
ghq	高寒區
ghy	各行業
ghz	古惑仔	刮鬍子
gii	工程車
gim	幹喫麪
gip	觀潮派
gis	觀察所
git	git	高產田
gix	工程學
giy	觀察員
gjc	關鍵詞	供給側
gjd	根據地
gje	夠勁兒
gjf	公檢法	過節費
gjl	攻擊力
gjq	軌跡球
gjr	工具人
gjx	工具箱
gjy	關節炎
gkl	怪可憐
glc	芥藍菜
gld	高利貸
glh	規律化
glp	改良派
glq	管理器
glt	過兩天
glu	橄欖石
glx	規律性
glz	仡佬族
gmc	灌木叢
gmf	歸謬法
gmh	規模化
gmj	革命家
gmp	革命派	古墓派
gmr	郭沫若
gmz	給面子
gnb	工農兵
gnc	國難財
gne	乾女兒
gnf	歸納法
gnh	高能耗
gnj	功能鍵	功能機	跟你講
gnl	歸你了	給你了
gnt	官能團
gnu	弓弩手
gny	工農業
gph	搞破壞
gqf	國旗法
gqq	鋼琴曲
grl	感染力
grq	過熱器
grt	固溶體
grw	趕任務
gsk	哥薩克
gsm	幹什麼	搞什麼
gsq	鋼絲球
gsr	甘肅人
gsu	甘肅省
gsy	硅酸鹽
gte	個頭兒
gtg	高碳鋼
gtq	國統區
gtu	共同社
gtx	共同性
gty	共同語
guh	格式化	公式化
gui	過山車
gum	趕時髦
gup	高水平
guq	感受器
gur	高收入
gux	觀賞性
guy	觀世音
guz	高山族
gvc	鬼針草
gvl	高質量
gvq	公債券
gvr	貴州人
gvu	貴州省
gvw	胳肢窩
gvy	更重要
gwc	狗尾草
gwd	高緯度
gwe	夠味兒
gwg	過五關
gwh	管委會
gwj	港務局
gwl	歸我了
gwp	歌舞片
gwq	國務卿
gwz	古文字
gxb	冠心病
gxd	關係到
gxf	高消費
gxg	共析鋼
gxi	肝吸蟲
gxj	乾血漿
gxp	革新派
gxr	廣西人
gxs	幹休所
gxt	觀象臺
gxw	關係網
gxy	高血壓	更需要	管絃樂
gxz	工薪族
gyn	圭亞那
gys	夠意思
gyw	廣域網
gyz	鍋煙子
gzd	工作隊
gzf	工作服
gzg	夠資格
gzj	乾燥劑
gzm	工作面
gzr	工作日
gzt	高姿態
gzy	歸罪於
gzz	工作組
had	海岸帶
hau	毫安時
hbp	黑白片
hbs	還不是
hcc	黃燦燦
hcl	黑材料
hcu	何曾是
hcx	何曾想
hcy	喉擦音
hdb	合訂本	畫大餅
hdd	好端端	黃澄澄	黃賭毒
hdf	活動房
hdg	核大國
hdj	蝴蝶結
hdk	紅點頦
hdm	橫斷面
hdp	幻燈片
hdq	紅燈區
hdu	還得是
hem	荷爾蒙
hfg	花粉管
hfh	合法化
hfp	護膚品
hfu	核輻射
hfv	黑非洲
hfw	揮發物
hfy	揮發油
hfz	壞分子
hge	黑格爾
hgi	化工廠
hgj	烘乾機
hgn	灰姑娘
hgs	核苷酸
hgx	迴歸線
hgy	花崗岩
hhc	黃花菜
hhe	好好兒
hhn	活化能
hhq	混合器
hhx	互換性
hia	合成氨
hic	合成詞
hie	話茬兒
hit	火車頭
hjc	好幾次
hjg	後腳跟	活見鬼
hjl	好極了	含金量
hjp	火箭炮
hjt	好幾天
hju	候機室
hjz	花架子
hkf	後空翻
hkh	花括號
hkq	航空器
hlb	胡蘿蔔
hld	紅綠燈	惠靈頓
hle	海拉爾
hlf	活雷鋒
hlk	海陸空
hln	火烈鳥
hlr	後來人
hlt	昏了頭
hlw	互聯網	好萊塢
hme	黑木耳
hml	宏命令	紅美鈴
hmt	河漫灘
hmu	黑墨水
hmz	紅帽子
hnh	華南虎
hnp	賀年片
hnr	河南人	湖南人	海南人
hnx	海南戲
hph	後怕虎
hpq	混頻器
hps	琥珀酸
hpx	海平線
hqb	後勤部
hqe	好氣兒	霍青娥
hqj	活全家
hqm	橫切面
hqs	很輕鬆	花青素
hqz	後勤組
hrl	核燃料
hrt	懷仁堂
hrz	好日子
hsk	哈薩克
hsp	賀歲片
htb	航天部
htd	黃土地
htp	黃土坡
htq	航天器
htv	航天站
htx	後天性
hty	繪圖儀	和田玉
hub	寒暑表
hud	華盛頓
huq	哈士奇	回收期
huu	活生生
hvp	化妝品
hvu	或者說
hvv	紅蜘蛛
hvz	互助組	汗珠子
hwe	好玩兒
hwh	環委會
hwj	好望角
hwt	環烷烴
hxc	含羞草
hxd	後現代
hxe	混血兒
hxj	滑翔機
hxt	活性炭
hxv	回形針
hyc	花椰菜
hyd	好樣的
hyj	還原劑
hyk	會員卡
hym	還有嗎	薅羊毛
hyr	黑衣人
hyt	合議庭
hyu	會議室
hyx	好一些	換一下
hyz	旱鴨子
hzb	橫座標
hzd	活字典
hzg	很糟糕
hzi	火葬場
hzl	後坐力
hzt	孩子頭
hzu	合作社
hzw	孩子王
ibe	成本額
ibw	出版物
icj	除草劑
icl	出錯了
idb	充電寶
ide	差點兒
idf	臭豆腐
idh	喫大戶
idr	成都人
idt	超導體
idv	充電樁	傳動軸
idw	超低溫
idy	差得遠
idz	出點子
ifd	出發點	唱反調
ifh	超負荷
ifj	吹風機
ift	出風頭
ifx	長方形
ify	處方藥
igd	唱高調
igl	成功率	車軲轆
igq	傳感器
ihd	闖紅燈
ihe	創匯額
ihl	成活率
iix	嚐嚐鮮
ijb	衝擊波	傳家寶
ije	衝勁兒
ijg	成就感
ijl	成交量	衝擊力	長頸鹿
ijr	出家人
ijw	沉積物
ike	出口額
iku	出口商
ild	船老大
ilg	陳列館
ilu	常綠樹
ilz	車釐子	出亂子
imb	觸摸板	出毛病
ime	串門兒
imf	車馬費
imj	赤黴菌
iml	重碼率
imq	出滿勤	赤蠻奇
imr	長毛絨
ims	赤黴素
imt	長毛兔
imx	長毛象
ind	處女地
int	出難題
iny	出納員
ipe	唱片兒
ipl	成品率
iqe	出圈兒
iqh	拆遷戶
iqq	串親戚
iqr	重慶人
iqx	長期性
iqy	愛奇藝
irh	成人化
irr	產褥熱
iry	傳染源
isn	重孫女
itf	穿堂風
ith	常態化
itj	鏟土機
itw	長筒襪
iuf	長舌婦
iuh	初始化
iuk	超時空
iul	出生率
ivt	差轉檯
iwb	純文本	超文本
iwi	超外差
iwm	崇文門
iwv	綢紋紙
iwy	乘務員
ixh	程序化	暢銷貨
ixi	喫現成
ixk	儲蓄卡
ixm	腸繫膜
ixr	出血熱
iyc	臭氧層
iyi	嘗一嘗	鏟運車
iyj	柴油機
iyq	喫一塹
iyr	承運人
iyu	倡議書
iyv	創業者
iyx	成癮性	出洋相
iyy	炒魷魚
izi	出租車
izr	超自然
izy	沉醉於	吹奏樂
jbb	緊巴巴	緊繃繃
jbc	基本詞
jbd	見不到	見不得
jbj	肩並肩
jbm	聚苯醚
jbp	聚寶盆
jbr	接班人
jbs	絕不是	錦標賽
jbt	吉布提
jbw	金本位
jbz	腳脖子
jdb	腳底板
jdi	機動車
jdt	進度條
jdw	井底蛙
jdz	金點子
jea	就是啊
jed	就是得
jeh	就是好	京二胡
jei	假惡醜
jel	就是了
jen	就是你
jet	就是他	就是她	基爾特
jeu	就是說
jev	就是這
jew	就是我
jex	就是想	就是像
jey	就是要
jez	就是在
jfb	積分榜	計分表
jfh	解放後
jfi	繳費處
jfw	金飯碗
jfy	經風雨
jgb	極個別	金箍棒	激光筆
jgd	聚光燈
jhc	金花菜
jhd	較好地	交匯點	救護隊
jhe	絕活兒
jhf	季候風
jhh	金合歡
jhk	軍火庫
jhn	計劃內
jhq	淨化器
jhs	金黃色	季後賽
jhw	計劃外	聚合物
jii	計程車
jij	警察局
jje	較勁兒
jjp	激進派
jkh	進口貨
jkr	健康人
jkw	教科文
jkx	傑克遜	健康險
jld	家裏蹲	交流電	金鑾殿
jlf	節流閥
jlh	交流會
jlj	教練機
jlk	居留卡
jlm	捲簾門
jln	近兩年
jlq	居留權
jls	降落傘
jlt	交流團	截了圖
jlu	吉林省
jlx	紀律性
jly	教練員
jlz	舉例子
jmc	健美操
jmr	掘墓人
jms	佳木斯
jmv	幾秒鐘
jnd	加拿大
jnr	紀念日
jns	吉尼斯
jny	幾內亞
jnz	基諾族
jpi	吉普車
jps	吉普賽
jpv	柬埔寨
jpx	緊迫性
jpz	景頗族
jql	進去了
jqp	劇情片
jqq	靜悄悄
jqu	精氣神	舉起手	劇情殺
jqy	腱鞘炎
jrh	尖銳化
jrx	兼容性
jsb	加速泵
jsd	加速度	集散地
jsg	就算個
jsi	計算尺
jsp	驚悚片	絞絲旁
jsr	江蘇人
jst	計算題
jsv	近似值
jsy	金絲燕
jtj	交通局
jtl	景泰藍
jtn	幾天內
jtx	警惕性
jtz	簡體字
jub	記事本
juf	健身房
jun	幾十年
juq	解釋器
juv	救世主
juy	駕駛員
jvp	精製品
jwq	界外球
jxb	進修班
jxl	接下來
jxr	江西人
jxu	江西省
jxw	吉祥物
jxx	侷限性	間歇性	假惺惺
jxz	急性子
jyb	進一步
jyc	近義詞
jyf	九月份
jyh	交易會	金銀花
jyj	教育局
jyl	記憶力
jyt	絕緣體
jyv	加油站
jyw	局域網
jyx	加一下
jzf	檢字法
jzh	架子花
jzi	架子車
jzm	就怎麼
jzq	間奏曲
jzu	尖子生
jzv	劇作者
jzx	節奏性
kbs	可不是
kce	康采恩
kcq	開採權
kdh	肯定會
kdj	肯德基	看得見
kdk	開襠褲
kdw	寬帶網
kdx	可讀性	扛得下
kfg	咖啡館
kfh	咖啡壺
kfk	卡夫卡
kfs	咖啡色
kgc	可觀測
kgd	考古隊
kgf	控股方
kgt	啃骨頭
kgu	客觀上
kgw	抗高溫
khh	苦哈哈	開戶行
khk	誇海口
khq	開花期
khy	跨行業
kit	考察團
kiu	苦差事
kjb	空降兵
kjd	可見度
kjp	科教片
kjs	抗菌素
kju	會計師
kjv	會計證
kjx	會計學
kjy	科技園
kjz	空架子
kkd	開闊地
kkg	開口跪
kki	開快車
kky	可卡因
kkz	空殼子
klb	可麗餅
kld	開綠燈	考慮到
klp	刻錄盤
kmc	開幕詞
kme	摳門兒
knj	可能就
knt	Keynote
kpt	跨平臺
kqj	開區間
kqw	孔雀舞
kqy	烤全羊	跨區域
krx	可溶性
kst	喀斯特
ksw	科索沃
ktb	空調病
ktq	空調器
ktx	開拓型
kud	空手道	跨時代
kuw	枯水位
kvl	卡住了	控制論	空置率
kvm	擴展名
kvp	抗震棚
kvq	控制器
kwe	可望而
kwu	可謂是
kwy	礦物油
kxd	可信度
kxh	看笑話
kxm	凱旋門	空心面
kxn	苛性鈉
kxq	狂想曲
kxt	口香糖
kxv	空心磚
kxy	科學院
kxz	開小竈
kyh	抗氧化
kyj	可預見	開眼界	括約肌
kym	可以嗎	寬銀幕
kyw	可以爲
kyy	看一眼
lad	羅安達
lbb	冷冰冰
lbd	了不得	輪不到	冷不丁
lbe	老伴兒
lbf	冷不防
lbj	來不及	零部件
lbk	離不開
lbl	累不累	來不來	冷不冷
lbv	留不住	臘八粥
lbw	兩不誤
lbx	老百姓
lby	利比亞
lbz	老鼻子	珞巴族
lci	冷藏車
lcu	冷藏室
lde	臉蛋兒
ldi	落地窗
ldj	來得及	勞動局	老大姐
ldp	榴彈炮	立刀旁
ldr	領導人
ldu	落地式
lfg	盧浮宮
lfu	量販式
lfy	理髮員
lgi	類固醇
lgn	老姑娘
lgu	零關稅
lgx	劣根性
lhg	聯合國
lhh	樂呵呵	亂哄哄
lhj	老花鏡	老虎機	連環計
lhm	癩蛤蟆
lhp	來回票
lhq	零花錢
lhr	老好人
lht	拉後腿	老糊塗
lhv	蘭花指
lhz	拉祜族
lib	里程碑
lit	流程圖
ljb	廉價版
ljd	垃圾袋	落腳點
ljf	龍捲風
ljh	兩句話	老江湖
ljj	辣椒醬	亮晶晶
ljl	理解力
lju	累計數
ljv	拉鋸戰	臨界值
ljx	邏輯性	垃圾箱
ljz	尥蹶子
llp	拉郎配
llt	聊聊天	洛麗塔
llw	聯絡網	琉璃瓦
llx	理論性
lly	聯絡員
lmd	靈敏度
lmk	零門檻	老面孔	聯名卡
lmm	兩茫茫	路漫漫	老媽媽
lmp	兩面派
lmq	老母親	浪漫曲
lmt	流媒體	六面體
lmu	兩碼事	羅曼史
lnj	利尿劑
lnn	老奶奶
lnu	遼寧省
lnv	路怒症
lpt	拉皮條	蓮蓬頭
lpu	藍皮書
lpz	老婆子
lqb	老前輩
lqd	冷啓動
lqx	錄取線	兩棲型
lrb	老人斑
lry	類人猿
lsb	盧森堡	里斯本
lsc	兩三次
lsd	螺絲刀	兩三點
lsl	累死了
lst	兩三天	羅宋湯
lsz	傈僳族
ltj	落湯雞
ltk	樓梯口
ltr	領頭人
lts	擂臺賽
lug	臨時工	落水狗
luj	洛杉磯
lum	羅生門
luq	了上去
lur	老實人
lvn	兩週年	籠中鳥
lvt	零狀態
lvu	兩隻手
lwb	露尾巴
lwf	勞務費
lwg	老頑固
lwh	陸委會
lwp	利物浦
lwt	老頑童
lwy	闌尾炎
lxb	練習簿	流行病
lxc	龍鬚菜
lxd	聯想到	錄像帶
lxe	露餡兒
lxg	老戲骨	理想國
lxm	龍鬚麪
